CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
FMETF,"First Metro Philippine Equity Exchange Traded Fund, Inc.",O,93.8,16851260,1580648188,ETF-Equity,ETF-Equity,January-December,,,,,1293494791,,,,5631772,1287863019,1287863019,314629764,,,306415304,306415304,,-20778060,,,,,,,-3385360
AUB,Asia United Bank Corporation,O,47,485310538,22809595286,Financials,Banks,January-December,,,1982000000,49682000000,273839000000,511000000,,15370000000,239956000000,33745000000,33883000000,14196000000,5651000000,,4530000000,4522000000,174800000,5145000000,-422000000,-29303000000,3246200000,-242000000,,-874000000,34027000000
BDO,"BDO Unibank, Inc.",O,98.5,4383335563,431758552956,Financials,Banks,January-December,,,45811000000,446541000000,3286810000000,,,198637000000,2914594000000,370582000000,372216000000,162473000000,59726000000,631000000,43197000000,43175000000,1564000000,59944000000,-4972000000,-270544000000,94154000000,-62228000000,,-5595000000,223081000000
BKR,Bright Kindle Resources & Investments Inc.,O,0.72,1528474000,1100501280,Financials,Other Financial Institutions,January-December,0,,42000000,,2604000000,1672000000,,,1674000000,930000000,930000000,700,-6870800,-107190700,-114061200,-114061200,1484581,79700,-60300,-60300,,,,,
BLFI,"BDO Leasing and Finance, Inc.",S,3.16,2162475312,6833421986,Financials,Other Financial Institutions,January-December,328000000,,1736000000,3541000000,28998000000,18298000000,,4639000000,23350000000,5648000000,5648000000,2933000000,242600000,,154200000,154200000,207100000,7624110800,-473846900,301366700,172614900000,-2868100000,,-216200000,-7850270500
BPI,Bank of the Philippine Islands,O,70.85,4513100378,319753161781,Financials,Banks,January-December,,,22844000000,360423000000,2191756000000,,,146425000000,1915628000000,272698000000,276128000000,102169000000,38025000000,,28465000000,28677000000,1309100000,60614000000,-13087000000,-106219000000,83384000000,5774000000,,-12167000000,61520000000
CHIB,China Banking Corporation,O,21.95,2685899812,58955500873,Financials,Banks,January-December,,,9003000000,246940000000,984225000000,44478000000,,37442000000,887420000000,96789000000,96805000000,48437000000,12262000000,185000000,10427000000,10435000000,320000000,5885000000,1393000000,-99554000000,24224800000,-164859900000,,-2364000000,78363000000
COL,"COL Financial Group, Inc.",O,17.5,476000000,8330000000,Financials,Other Financial Institutions,January-December,8630000000,,149000000,216000000,10149000000,21000000,,36000000,8403000000,1724000000,1746000000,1106438800,631435700,,458776200,458374800,14509692,-636168900,-50144900,-27636400,,,,-404600000,-432162600
CSB,"Citystate Savings Bank, Inc.",O,8.44,100000000,844000000,Financials,Banks,January-December,,,178000000,384000000,4280000000,37000000,,,3622000000,658000000,658000000,235412900,-50278500,,-54407900,-54407900,8500000,-140976900,-38584000,-352553500,,,,,-218046400
EIB-AB,"Export and Industry Bank, Inc.",S,,18937810160,1431689353,Financials,Banks,January-December,,3646100000,,,27664500000,,17493300000,,26990300000,674100000,674100000,570000000,,,-968400000,-968400000,162533333,2481733333,0,268133333,,,,,-2094266667
